"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","weight"
"PAX7",2.2040433753287,1.48004394019492,0.470299113545575,3.14702685496662,0.00164939812084778,0.0550170478755314,0.747609436181733
"COL9A2",13773.4389326322,1.15986466983717,0.178878544927964,6.48409047772755,8.92686422524497e-11,1.39844829883833e-07,3.01505292065184
"CHAT",2.96645960620743,1.36532522735186,0.35607983994254,3.8343233011231,0.000125910445620116,0.0167388524610483,0.511683171739472
"TRPC5",1.81823305536198,1.00019633813702,0.294914208627489,3.39148236631891,0.000695156362307317,0.0419101419938538,0.530131993540623
"ACTN2",222.034985365159,1.80713759948728,0.244685931064289,7.38553946124701,1.51836494802409e-13,4.94945557770209e-10,2.26180186421649
"SMPX",21.9173613384224,1.19869117549051,0.256420475404332,4.67470927818996,2.94370320165875e-06,0.00101261941221364,1.20992916509704
"MYH7",918.773848711169,2.34999789163366,0.419900379828365,5.59656052846209,2.18646008846891e-08,1.50417348209409e-05,2.50066911627733
"MYLK2",9.87492206285518,1.17194908518737,0.225144854671235,5.2053114289407,1.93671527493785e-07,0.000157274819177539,1.02239519788125
"CST4",43.294551160087,1.02902563380955,0.251967559923499,4.08396078495969,4.42745056690271e-05,0.00451873015502485,1.87778649681986
"SPINT3",1.63500250887954,1.06316958398272,0.436792514883962,2.43403801062195,0.0149314270114381,0.215959130099368,0.530131993540623
"ATP1B4",9.37492862835377,1.10704955716889,0.363549346369994,3.04511497056087,0.00232591378327104,0.0513853197438043,1.20262745665015
"NEFM",60.9412108360254,1.08599415452728,0.223094782105159,4.86785994849211,1.12813230076059e-06,0.000321362043639177,2.15685041642355
"CKM",360.947074270752,1.21334446379318,0.227200436985883,5.34041430505072,9.2734405590217e-08,4.90662738575622e-05,2.03212507978018
"TNNT1",332.00192627659,1.88695478549396,0.336645083342081,5.60517553608985,2.08044009400145e-08,1.65115810168027e-05,2.03212507978018
"MYH3",717.389921500292,1.15058893328578,0.180107940348692,6.38832985962874,1.67707277044817e-10,2.7333998946396e-07,2.2618018642165
"MYF6",14.1258959763128,2.22272862301943,0.733791735325098,3.02910010567873,0.00245283392159835,0.051549564507073,1.26127866779888
"MYF5",1.27353601112674,2.26121295583876,0.735979624738426,3.07238526697315,0.00212355450075458,0.0762685162036716,0.528306094368002
"MYL2",327.455172933633,1.67724273948607,0.461509981170651,3.63425019591479,0.000278790224421881,0.0121315711659577,2.06985407332918
"TNNC1",292.407484968369,1.14917767660282,0.212043618777814,5.41953435442432,5.97544670751843e-08,3.68565017216167e-05,2.14548517635851
"SMYD1",20.4982117763767,2.04345711826347,0.606341713930138,3.37014107938962,0.000751297084791829,0.0284186292189777,1.20530236889802
"PAEP",28.6168337561952,2.62049201018594,0.506793260518668,5.17073176447542,2.33179074581591e-07,0.000112123539644402,1.85054069597645
"MYOG",15.2632241214809,2.46191763316489,0.6401976798894,3.84555850560129,0.000120278160439262,0.0102905736616345,1.18745548614999
"CRISP1",15.5971710243147,2.02775368313735,0.433102098114604,4.68192994669072,2.84186605661935e-06,0.000780860947599355,1.67704894506228
"NKX2-4",0.548302265925831,1.08208265527074,0.465738270133676,2.32337070981984,0.0201592462001528,1,0
"DEFB129",2.02648142597847,1.94111489844017,0.478373043127678,4.0577430654304,4.95492365249254e-05,0.00822247801976548,0.747609436181733
"STATH",1.08458519553478,1.86553372814843,0.789674390780824,2.36240879776259,0.0181566083312963,0.235488587310558,0.553901315060074
"MYOD1",2.20130525955383,1.64377906628333,0.662705020932023,2.48040834815396,0.0131231996378496,0.194399589633439,0.568537995857626
"CSRP3",59.003029942124,2.7534569832546,0.660838003825333,4.16661415856218,3.09157107575081e-05,0.0035680915422266,2.03212507978018
"GFAP",39.6078459197846,1.18528001852154,0.21760167271623,5.44701703680024,5.12215587760415e-08,4.47810759709447e-05,1.43982022191843
"MYH8",8.38735699750596,1.0953246459489,0.408172478820514,2.68348480797635,0.00728592853792278,0.0942063980745766,1.20262745665015
"MYBPH",27.5629721659923,1.56359595674131,0.397367619571051,3.93488517868963,8.32364797276943e-05,0.00549644014167438,2.36005739632969
"SOX3",6.33574902525901,1.18890028326082,0.449470529313273,2.64511287331183,0.00816636712728086,0.11094969236292,0.996776310846131
"CGA",52.8610265259497,1.0819754615234,0.236499039496549,4.57496767778283,4.7629351339187e-06,0.00103584231334001,1.87778649681986
"CHRND",7.08776507549283,1.03670414508607,0.478500668159654,2.16656781081059,0.0302678240488659,0.198576689027759,1.26127866779888
"MYPN",15.0189079291608,1.16698807094568,0.350036862604167,3.33390049911784,0.000856372863411032,0.0253163032250055,1.67704894506228
"METTL21C",5.54539418882079,1.58558604923435,0.332732588840336,4.76534641455035,1.88529458638912e-06,0.000727773375884969,1.26127866779888
